geo_value,time_value,fb_illness
wi,2020-04-19,0.7753901
wv,2020-04-19,0.5765632
wy,2020-04-19,0.5297053
ak,2020-04-20,0.572867
al,2020-04-20,0.7733974
ar,2020-04-20,0.82555
az,2020-04-20,0.7148795
ca,2020-04-20,0.5966106
co,2020-04-20,0.8657642
ct,2020-04-20,0.7898248
dc,2020-04-20,0.4194309
de,2020-04-20,0.8698496
fl,2020-04-20,0.6681161
ga,2020-04-20,0.5769686
hi,2020-04-20,0.5785926
ia,2020-04-20,1.1131412
id,2020-04-20,0.8298136
il,2020-04-20,0.6720192
in,2020-04-20,0.6982957
ks,2020-04-20,0.3859394
ky,2020-04-20,0.6976461
la,2020-04-20,0.8126321
ma,2020-04-20,0.6359471
md,2020-04-20,0.3301758
me,2020-04-20,0.675396
mi,2020-04-20,0.6155306
mn,2020-04-20,0.6429632
mo,2020-04-20,0.6429638
ms,2020-04-20,0.8092731
mt,2020-04-20,0.613297
nc,2020-04-20,0.5355088
nd,2020-04-20,0.696584
ne,2020-04-20,0.779386
nh,2020-04-20,0.5491336
nj,2020-04-20,0.846932
nm,2020-04-20,0.5797468
nv,2020-04-20,0.875701
ny,2020-04-20,1.0368576
oh,2020-04-20,0.7777569
ok,2020-04-20,0.6365658
or,2020-04-20,0.9318953
pa,2020-04-20,0.5384925
ri,2020-04-20,0.5097313
sc,2020-04-20,0.4213135
sd,2020-04-20,0.9460351
tn,2020-04-20,0.5986834
tx,2020-04-20,0.6621133
ut,2020-04-20,0.6427064
va,2020-04-20,0.5596311
vt,2020-04-20,0.2597454
wa,2020-04-20,0.4856954
wi,2020-04-20,0.7937638
wv,2020-04-20,0.5471269
wy,2020-04-20,0.5635521
ak,2020-04-21,0.5626504
al,2020-04-21,0.8812646
ar,2020-04-21,0.7541603
az,2020-04-21,0.5795287
ca,2020-04-21,0.5576447
co,2020-04-21,0.7745211
ct,2020-04-21,0.7850179
dc,2020-04-21,0.4432123
de,2020-04-21,0.7530066
fl,2020-04-21,0.6185032
ga,2020-04-21,0.6183903
hi,2020-04-21,0.5821534
ia,2020-04-21,1.1329842
id,2020-04-21,0.8960904
il,2020-04-21,0.6478856
in,2020-04-21,0.7030806
ks,2020-04-21,0.376123
ky,2020-04-21,0.6392065
la,2020-04-21,0.8033833
ma,2020-04-21,0.6102565
md,2020-04-21,0.4157907
me,2020-04-21,0.7113254
mi,2020-04-21,0.6126962
mn,2020-04-21,0.6472076
mo,2020-04-21,0.7175556
ms,2020-04-21,0.7135177
mt,2020-04-21,0.5920545
nc,2020-04-21,0.5174132
nd,2020-04-21,0.7137421
ne,2020-04-21,0.7431316
nh,2020-04-21,0.5527556
nj,2020-04-21,0.8861521
nm,2020-04-21,0.6084144
nv,2020-04-21,0.8823823
ny,2020-04-21,1.00759
oh,2020-04-21,0.7429838
ok,2020-04-21,0.8033245
or,2020-04-21,0.9024165
pa,2020-04-21,0.509084
ri,2020-04-21,0.5099535
sc,2020-04-21,0.5561287
sd,2020-04-21,0.9405509
tn,2020-04-21,0.6367264
tx,2020-04-21,0.650628
ut,2020-04-21,0.5976809
va,2020-04-21,0.5438672
vt,2020-04-21,0.245629
wa,2020-04-21,0.4421058
wi,2020-04-21,0.7493806
wv,2020-04-21,0.5887704
wy,2020-04-21,0.4024684
ak,2020-04-22,0.6513632
al,2020-04-22,0.8635721
ar,2020-04-22,0.7336918
az,2020-04-22,0.5794727
ca,2020-04-22,0.525167
co,2020-04-22,0.9081162
ct,2020-04-22,0.7605643
dc,2020-04-22,0.4920443
de,2020-04-22,0.8151264
fl,2020-04-22,0.6454791
ga,2020-04-22,0.5752734
hi,2020-04-22,0.5605059
ia,2020-04-22,1.2755055
id,2020-04-22,0.7894108
il,2020-04-22,0.614718
in,2020-04-22,0.7061068
ks,2020-04-22,0.6321881
ky,2020-04-22,0.6625465
la,2020-04-22,0.7630251
ma,2020-04-22,0.6374823
md,2020-04-22,0.4354895
me,2020-04-22,0.7634309
mi,2020-04-22,0.6261175
mn,2020-04-22,0.5884776
mo,2020-04-22,0.6122117
ms,2020-04-22,0.6486048
mt,2020-04-22,0.5414054
nc,2020-04-22,0.5076988
nd,2020-04-22,0.6742983
ne,2020-04-22,0.8064292
nh,2020-04-22,0.5047611
nj,2020-04-22,0.8869185
nm,2020-04-22,0.5901826
nv,2020-04-22,0.9410171
ny,2020-04-22,0.9407843
oh,2020-04-22,0.7210412
ok,2020-04-22,0.7016815
or,2020-04-22,0.8369784
pa,2020-04-22,0.4956077
ri,2020-04-22,0.5314012
sc,2020-04-22,0.5309388
sd,2020-04-22,0.7713639
tn,2020-04-22,0.6810512
tx,2020-04-22,0.6642622
ut,2020-04-22,0.5720222
va,2020-04-22,0.5762137
vt,2020-04-22,0.2452686
wa,2020-04-22,0.4777688
wi,2020-04-22,0.7149786
wv,2020-04-22,0.5405193
wy,2020-04-22,0.4699997
ak,2020-04-23,0.6066793
al,2020-04-23,0.7934409
ar,2020-04-23,0.7796242
az,2020-04-23,0.5662504
ca,2020-04-23,0.4885201
co,2020-04-23,0.8461395
ct,2020-04-23,0.7049011
dc,2020-04-23,0.3647479
de,2020-04-23,0.8181161
fl,2020-04-23,0.6526688
ga,2020-04-23,0.5964774
hi,2020-04-23,0.5313225
ia,2020-04-23,1.2993592
id,2020-04-23,0.6724591
il,2020-04-23,0.5944158
in,2020-04-23,0.7150186
ks,2020-04-23,0.6715349
ky,2020-04-23,0.6269005
la,2020-04-23,0.8062193
ma,2020-04-23,0.6726893
