geo_value,time_value,covid_admissions
vt,2020-02-19,0.230202
wa,2020-02-19,0.068448
wi,2020-02-19,0.068602
wv,2020-02-19,0.0997
al,2020-02-20,0.069763
ar,2020-02-20,0.089924
az,2020-02-20,0.06676
ca,2020-02-20,0.048252
co,2020-02-20,0.060501
ct,2020-02-20,0.058446
dc,2020-02-20,0.138379
de,2020-02-20,0.262233
fl,2020-02-20,0.020427
ga,2020-02-20,0.079525
hi,2020-02-20,0.11891
ia,2020-02-20,0.086024
id,2020-02-20,0.213359
il,2020-02-20,0.064331
in,2020-02-20,0.079761
ks,2020-02-20,0.085242
ky,2020-02-20,0.353071
la,2020-02-20,0.062518
ma,2020-02-20,0.087726
md,2020-02-20,0.077215
me,2020-02-20,0.227337
mi,2020-02-20,0.081488
mn,2020-02-20,0.09017
mo,2020-02-20,0.096488
ms,2020-02-20,0.082292
nc,2020-02-20,0.067139
ne,2020-02-20,0.091413
nh,2020-02-20,0.106643
nj,2020-02-20,0.112644
nm,2020-02-20,0.085956
nv,2020-02-20,0.083747
ny,2020-02-20,0.032106
oh,2020-02-20,0.079179
ok,2020-02-20,0.089431
or,2020-02-20,0.088323
