geo_value,time_value,percent_covid_tests_positive_smoothed,covid_admissions,raw_search,percent_covid_visits,fb_illness,new_cases,full_time_work_prop,percent_home
ct,2020-06-02,4.39882698,7.095778999999999,10.72818703,0.429253,0.3937894,239,4.1583499096227,33.176646124144
fl,2020-06-02,5.20527859,2.112891,7.93426168,0.133623,0.40724940000000004,617,4.656629527400799,29.934590970767
ga,2020-06-02,8.21473159,2.2039169999999997,7.90194105,0.243063,0.4563604,305,4.608035089185999,27.783094527579
ks,2020-06-02,7.81758958,1.286537,0.0,0.07618,0.35479770000000005,45,5.066471271039,27.511608400275
ky,2020-06-02,4.06212664,1.770505,0.0,0.046626999999999995,0.39356290000000005,139,4.9878829006513,27.272007881921002
la,2020-06-02,5.55555556,0.8915280000000001,49.67005941,0.179999,0.5567365,405,5.585748456296299,26.061766683869003
ma,2020-06-02,5.3736356,9.579068,0.0,0.2575,0.28653909999999994,454,4.6408804631341,37.416961625852004
md,2020-06-02,11.2745098,6.474532,19.51057088,0.427316,0.6860676,848,4.4135384166054,36.702784919881
mi,2020-06-02,0.51813472,1.497448,9.4416174,0.126371,0.3469027,279,4.578741822544999,30.566323085034004
mo,2020-06-02,14.5631068,1.979532,16.52004871,0.09519,0.6013465,268,4.9359827404622,28.154882524665005
ms,2020-06-02,5.17241379,2.8577169999999996,0.0,0.288666,0.7728139,289,5.139995595649599,22.718726581275
nc,2020-06-02,6.72268908,3.6177639999999998,15.00540745,0.20599,0.38380359999999997,813,4.6315352255934,27.761143423849997
nj,2020-06-02,2.16606498,7.14712,12.16483556,0.830047,0.4617888,627,3.9493213864248,36.085902310831
ny,2020-06-02,4.9122807,4.5219830000000005,7.51223909,0.585151,0.43034140000000004,1329,4.294127154845899,37.104722359927
ok,2020-06-02,2.85520054,1.097323,0.0,0.083663,0.5708449999999999,119,4.9572324125745,23.757286064695997
ri,2020-06-02,1.78571429,1.1927219999999998,0.0,0.247002,0.4735899,121,4.633481436274801,32.730135217105996
tx,2020-06-02,9.06193078,2.442806,5.34898548,0.23021399999999997,0.4583478,1720,4.0626298489109,28.146212681137
va,2020-06-02,8.33333333,3.357624,9.59449302,0.29288800000000004,0.5988871,841,4.1318077167800995,31.709714793270997
al,2020-06-03,7.27272727,5.8497900000000005,53.42406121,0.18776400000000001,0.4881933,220,4.9118335256119,23.368777367552998
ar,2020-06-03,6.16740088,2.072616,0.0,0.159403,0.8231915999999999,249,4.6274115551765,23.786049134275
ca,2020-06-03,9.85915493,2.041193,4.24792936,0.269044,0.34514279999999997,2159,4.782695291895999,36.453748562509006
ct,2020-06-03,3.61111111,6.435505,20.4494161,0.392543,0.3813946,112,4.1171134304567,34.56929271170301
fl,2020-06-03,5.64325178,2.118145,13.56453104,0.132332,0.4036973,1317,4.613685689388699,31.466857474180998
ga,2020-06-03,8.80962613,2.27326,7.55355999,0.226399,0.4554572,687,4.3403321658491,29.186262226904
ks,2020-06-03,7.46753247,1.084039,18.78492241,0.091153,0.34302699999999997,127,4.642218594620799,26.848610839756
ky,2020-06-03,4.09638554,1.9668349999999999,24.6092595,0.044098000000000005,0.3945572,225,4.6851129635504005,27.384584473238
la,2020-06-03,6.57894737,0.568142,0.0,0.184448,0.5320050999999999,387,5.3917431250034005,26.44086187206
ma,2020-06-03,4.81825866,10.742602999999999,5.37351161,0.250746,0.28259229999999996,469,4.4509692088946995,37.571885123571
md,2020-06-03,11.05769231,7.585417999999999,12.15231887,0.401399,0.6557128000000001,807,4.3445684539333005,38.797072492994
mi,2020-06-03,0.0,1.621485,8.82994262,0.11866800000000001,0.3690525,410,4.200108693331201,34.333245294683
mo,2020-06-03,13.51351351,1.7803689999999999,15.33826411,0.099674,0.6096645,243,4.9927827725289,28.057447889802
nc,2020-06-03,6.79012346,3.435453,4.060569,0.198246,0.4145182,1232,4.2845780516683005,29.472409525496
nj,2020-06-03,1.95439739,6.721684,3.89394028,0.81931,0.4214446,523,4.016786623384601,38.00949144836599
ny,2020-06-03,2.15934475,4.200832,9.46526533,0.589209,0.40794709999999995,1045,4.1640475420849,38.981447184239
ok,2020-06-03,2.73698264,1.214642,0.0,0.078378,0.5860379,113,4.346491169709899,23.451346835937002
or,2020-06-03,3.50877193,0.12212,0.0,0.055277,0.27627740000000006,64,4.044730873437,34.146484160456005
sd,2020-06-03,0.0,1.4634559999999999,0.0,0.24634299999999998,0.42370209999999997,94,4.6718134212835,26.813948796501997
